Song,Artist
Amber,311
Beautiful Disaster,311
Down,311
Caught Up in You,.38 Special
Here Without You,3 Doors Down
Kryptonite,3 Doors Down
When I'm Gone,3 Doors Down
When You're Young,3 Doors Down
Attack,30 Seconds to Mars
Closer to the Edge,30 Seconds to Mars
Rescue Me,30 Seconds to Mars
The Kill,30 Seconds to Mars
This Is War,30 Seconds to Mars
What's Up?,4 Non Blondes
She Looks So Perfect,5 Seconds Of Summer
All I Want,A Day to Remember
Better Off This Way,A Day To Remember
"I'm Made of Wax, Larry, What Are You Made Of?",A Day to Remember
If It Means a Lot to You,A Day to Remember
It's Complicated,A Day To Remember
Mindreader,A Day to Remember
Paranoia,A Day to Remember
Resentment,A Day to Remember
Sticks & Bricks,A Day To Remember
The Downfall of Us All,A Day to Remember
The Plot To Bomb The Panhandle,A Day To Remember
Take On Me,a-ha
Back in Black,AC/DC
Dirty Deeds Done Dirt Cheap,AC/DC
Fire Your Guns,AC/DC
For Those About To Rock (We Salute You),AC/DC
Heatseeker,AC/DC
Hell Ain't A Bad Place To Be,AC/DC
Hells Bells,AC/DC
High Voltage,AC/DC
Highway To Hell,AC/DC
Jailbreak,AC/DC
Let There Be Rock,AC/DC
Moneytalks,AC/DC
Shoot To Thrill,AC/DC
Shot in the Dark,AC/DC
T.N.T.,AC/DC
The Jack,AC/DC
Thunderstruck,AC/DC
Whole Lotta Rosie,AC/DC
You Shook Me All Night Long,AC/DC
All That She Wants,Ace of Base
The Sign,Ace of Base
Hair Trigger,Acro-Brats
Angel,Aerosmith
Back in the Saddle,Aerosmith
Crazy,Aerosmith
Cryin',Aerosmith
Dream On (Live),Aerosmith
Dude (Looks Like a Lady),Aerosmith
Eat the Rich,Aerosmith
I Don't Want to Miss a Thing,Aerosmith
Janie's Got a Gun,Aerosmith
Legendary Child,Aerosmith
Livin' on the Edge,Aerosmith
Love in an Elevator,Aerosmith
Lover Alot,Aerosmith
Rag Doll,Aerosmith
Rats in the Cellar,Aerosmith
Seasons of Wither,Aerosmith
Sweet Emotion,Aerosmith
Toys in the Attic,Aerosmith
Train Kept A-Rollin',Aerosmith
Walk This Way,Aerosmith
Beautiful Thieves,AFI
End Transmission,AFI
Far Too Near,AFI
Love Like Winter,AFI
Medicate,AFI
